Brand,Fuel_Type,Transmission,Owner_Type,Year,Engine_CC,Mileage,Kilometers_Driven,Seats,Price_Lakhs
Volkswagen,Petrol,Manual,First,2015,1600.0,14.2,59330,5.0,8.26
Toyota,CNG,Manual,First,2015,1800.0,19.2,56707,7.0,11.73
Kia,Petrol,Manual,First,2017,1400.0,27.2,23689,5.0,13.24
Tata,Diesel,Manual,Second,2021,1800.0,11.7,34084,5.0,9.31
Volkswagen,Petrol,Manual,Second,2021,1400.0,16.2,45387,7.0,9.81
Renault,Diesel,Automatic,First,2021,1400.0,15.6,79816,5.0,10.06
Honda,Petrol,Automatic,Second,2017,800.0,16.5,7642,5.0,10.49
Volkswagen,Petrol,Manual,Second,2023,2000.0,21.6,47137,5.0,11.11
Kia,CNG,Manual,First,2012,800.0,19.9,67260,5.0,6.85
Tata,Petrol,Manual,Second,2025,1200.0,21.0,53442,5.0,11.01
Toyota,Petrol,Manual,First,2025,1400.0,18.1,108061,7.0,14.5
Kia,CNG,Manual,First,2020,1600.0,13.4,139066,5.0,10.29
Kia,CNG,Manual,First,2013,2000.0,14.1,130844,5.0,7.84
Honda,Petrol,Manual,First,2016,1000.0,20.6,104575,5.0,8.91
Ford,Diesel,Manual,First,2020,,18.6,6813,5.0,10.02
Tata,Petrol,Manual,Third,2015,800.0,22.4,98027,5.0,4.54
Hyundai,Petrol,Manual,First,2022,1800.0,19.0,128489,5.0,9.3
Kia,Petrol,Automatic,First,2014,1200.0,13.9,89381,5.0,10.26
Ford,Diesel,Automatic,First,2018,1200.0,16.2,60276,5.0,11.58
Hyundai,Diesel,Manual,Third,2017,2000.0,20.0,46243,5.0,9.11
Tata,Diesel,Automatic,First,2019,1200.0,20.5,65272,5.0,12.19
Maruti,Diesel,Manual,First,2014,1200.0,21.0,70618,7.0,6.59
Renault,Petrol,Automatic,First,2016,1000.0,14.3,6920,5.0,10.26
Ford,Petrol,Automatic,First,2021,2200.0,13.8,111121,5.0,12.89
Nissan,Petrol,Manual,Third,2015,1800.0,17.3,81872,5.0,6.76
Maruti,Petrol,Manual,Third,2024,1800.0,23.0,86132,7.0,11.89
Renault,Petrol,Manual,First,2015,1800.0,15.6,7093,5.0,6.47
Honda,Diesel,Manual,Third,2015,1400.0,19.6,17905,6.0,8.07
Volkswagen,Petrol,Manual,First,2021,1600.0,19.6,126759,7.0,10.75
Toyota,Petrol,Manual,Second,2019,2200.0,20.7,35981,7.0,13.8
Nissan,Petrol,Manual,First,2017,1800.0,23.8,78903,5.0,8.05
Honda,Diesel,Automatic,First,2014,1200.0,23.5,75821,5.0,11.13
Tata,Diesel,Automatic,First,2021,1200.0,15.9,114200,7.0,12.64
Honda,Petrol,Manual,Second,2016,1800.0,10.7,87289,7.0,8.42
Volkswagen,Petrol,Manual,First,2017,2000.0,15.6,121506,7.0,10.03
Tata,Diesel,Manual,First,2016,1800.0,18.3,83513,5.0,7.68
Nissan,Petrol,Manual,First,2017,1200.0,16.7,143746,5.0,6.01
Volkswagen,Diesel,Automatic,Second,2019,1400.0,24.9,55516,5.0,14.04
Hyundai,Diesel,Manual,First,2018,800.0,18.1,74212,7.0,9.52
Toyota,Petrol,Manual,Second,2016,800.0,20.3,138498,5.0,8.48
Nissan,Petrol,Manual,Third,2021,2200.0,18.8,135970,5.0,8.33
Hyundai,CNG,Manual,First,2017,2200.0,16.8,95009,7.0,7.16
Renault,Petrol,Manual,Second,2025,1800.0,11.3,49816,5.0,9.5
Nissan,Petrol,Automatic,First,2015,1000.0,17.7,9138,7.0,11.15
Renault,Diesel,Manual,Second,2023,1800.0,28.0,96176,5.0,10.4
Tata,CNG,Manual,First,2020,2000.0,13.6,80945,5.0,9.1
Hyundai,CNG,Manual,Second,2024,1800.0,11.6,9017,5.0,11.36
Toyota,Diesel,Automatic,Second,2015,2200.0,24.8,15451,7.0,13.79
Volkswagen,Petrol,Automatic,Third,2012,800.0,20.6,98863,5.0,7.28
Kia,Petrol,Manual,Second,2018,1200.0,18.7,15278,5.0,10.9
Honda,Diesel,Manual,First,2018,1800.0,22.8,48764,7.0,11.88
Maruti,Petrol,Manual,First,2015,1200.0,15.1,128030,5.0,7.67
Toyota,Petrol,Manual,Second,2024,1200.0,17.6,137206,5.0,10.76
Hyundai,CNG,Automatic,First,2025,1000.0,21.3,67943,5.0,13.62
Kia,Petrol,Manual,First,2014,1200.0,25.4,100667,5.0,8.67
Toyota,Petrol,Manual,Third,2019,800.0,13.9,59318,5.0,10.2
Hyundai,Petrol,Manual,Second,2016,1400.0,22.5,108423,5.0,7.16
Ford,Petrol,Manual,Second,2021,1400.0,19.3,108998,5.0,8.2
Ford,Petrol,Manual,First,2018,1600.0,18.6,65128,5.0,9.1
Renault,Petrol,Automatic,Second,2015,2000.0,18.0,26869,6.0,7.65
Toyota,Petrol,Manual,First,2015,1800.0,13.2,10039,5.0,11.3
Ford,Diesel,Manual,Second,2019,2000.0,21.4,117935,5.0,9.8
Hyundai,Diesel,Manual,First,2025,800.0,15.3,15442,5.0,12.28
Renault,Diesel,Manual,Second,2019,1200.0,14.2,78788,5.0,8.7
